rank	cluster_id	n_assigned	usage_pct	cum_pct	monosemanticity	dist_min	dist_p50	domain	top_tokens
1178	856	117	0.024	90.166	0.379	786.7032	1390.7928	web:38%	 looking  look  looked  looks  Look  Looking
1179	1807	117	0.024	90.19	0.0	417.1426	526.2285	code:98%	 the  implied
1180	1938	117	0.024	90.213	0.046	860.1216	1391.4009	wiki:67%	 music  band  songs  vocals  worldwide  albums
1181	46	116	0.024	90.237	0.328	939.792	1520.0558	math:88%	$ }$ $$ )$ *$ \\$
1182	518	116	0.024	90.26	0.253	774.0147	1402.1102	wiki:72%	 and , ),  American -American  former
1183	552	116	0.024	90.284	0.335	987.3599	1858.1801	wiki:28%	 In -in In in _in  rein
1184	1272	116	0.024	90.308	0.022	901.208	1501.7511	pile:86%	2 s D 1 VD ps
1185	1286	116	0.024	90.331	0.233	1038.8604	1710.3156	web:66%	 we  they  We  you  I  They
1186	1451	116	0.024	90.355	1.0	734.3076	1456.6025	wiki:32%	 
1187	41	115	0.023	90.378	0.472	709.4541	1350.8379	math:83%	 for  For for For
1188	248	115	0.023	90.402	0.119	957.7656	1585.2472	math:76%	2 (R 1 (x 3 5
1189	1873	115	0.023	90.425	0.416	482.3418	1222.0273	code:97%	',\n "),\n \n '),\n ,\n ...',\n
1190	1900	115	0.023	90.448	0.705	241.1397	513.7227	code:96%	 Copyright Copyright  copyright
1191	257	114	0.023	90.472	0.813	944.8965	1645.8732	math:46%	  - / \n \t
1192	337	114	0.023	90.495	0.927	1031.6698	1637.453	pile:93%	 in  In
1193	840	114	0.023	90.518	0.316	953.4365	1584.0822	math:96%	$ )$ }$  that  which $$
1194	1061	114	0.023	90.541	0.068	1203.2002	1773.3839	pile:58%	 amino ethyl yl -D 5 2
1195	1334	114	0.023	90.564	0.219	917.6259	1681.6031	pile:87%	,  that  and  However  but  study
1196	1407	114	0.023	90.588	0.311	809.335	1396.5878	wiki:67%	 his  His 's  Her  her ’s
1197	1619	114	0.023	90.611	0.204	1383.2589	2299.0898	math:27%	c hec osc  casc >c  carc
1198	1717	114	0.023	90.634	0.202	1206.7432	1774.5516	pile:39%	1 0 2 3 6 5
1199	1962	114	0.023	90.657	0.257	1203.2793	1663.6346	wiki:91%	,  and  as  was  becomes  crowned
1200	732	113	0.023	90.68	0.723	960.3994	1291.0713	math:97%	 the  The  its The )
1201	868	113	0.023	90.703	0.396	733.7256	1673.1234	pile:33%	 Ch  ch Ch ch -ch /ch
1202	1207	113	0.023	90.726	0.155	896.2539	1831.1738	math:48%	begin  don  doesn  isn  won  Don
1203	1520	113	0.023	90.749	0.779	282.9238	653.7266	code:100%	from  from
1204	724	112	0.023	90.772	0.099	1225.2948	1931.7762	pile:85%	 that  and  to  proteins )  which
1205	1289	112	0.023	90.795	0.028	1361.2695	1967.2441	pile:94%	 cells )  analysis ase  also 1
1206	1350	112	0.023	90.817	0.387	912.5986	1428.4873	math:96%	$ )$ $$ }$ ' <$
1207	1405	112	0.023	90.84	0.872	911.7402	1480.4188	wiki:64%	 a  A A
1208	1655	112	0.023	90.863	1.0	1081.5952	1645.0977	code:37%	.
1209	1697	112	0.023	90.886	1.0	1263.7528	2439.7139	math:43%	.
1210	234	111	0.023	90.908	0.14	1210.212	1779.9863	code:82%	 (  -  [ =( (( ]*
1211	471	111	0.023	90.931	0.223	987.1176	1803.7026	wiki:46%	 well  best  widely  better  heavily  closely
1212	1155	111	0.023	90.954	0.359	809.6583	1390.3223	web:42%	 In In  in in .In
1213	1333	111	0.023	90.976	0.572	984.7793	1531.9921	pile:89%	. ). ]. : %. \n\n
1214	1576	111	0.023	90.999	0.045	1225.1036	1846.662	code:98%	's club .com data /dashboard s
1215	1747	111	0.023	91.021	0.027	1000.3174	1748.297	pile:97%	11 %) 559 23 -three 17
1216	58	110	0.022	91.044	0.223	891.8447	1700.6144	wiki:44%	 by  of ,  and  to  with
1217	94	110	0.022	91.066	1.0	952.1758	1523.3104	web:38%	 the
1218	766	110	0.022	91.088	0.071	959.1724	1821.7657	math:37%	04 9 7 01 11 06
1219	1685	110	0.022	91.111	0.839	353.7305	785.6074	code:43%	201 200 199
1220	131	109	0.022	91.133	0.113	822.9629	1650.4452	math:65%	,  at th 10 0 :
1221	209	109	0.022	91.155	0.27	994.4649	1572.8228	wiki:95%	,  that ;  when  and  but
1222	491	109	0.022	91.177	0.076	1019.7969	1745.918	pile:93%	3 0 6 7 12 2
1223	948	109	0.022	91.199	0.388	871.2119	1589.8702	wiki:78%	 and ,  he  but  He  later
1224	1401	109	0.022	91.222	0.168	703.1201	1141.0048	code:98%	(). ). '). ]. '].  '.
1225	1494	109	0.022	91.244	0.41	1416.4364	2686.417	math:29%	m  m μ  strm
1226	140	108	0.022	91.266	0.288	850.4921	1414.5859	math:63%	In  in  In in "In .In
1227	250	108	0.022	91.288	0.868	685.2831	1156.4482	wiki:93%	. ). ."
1228	254	108	0.022	91.31	1.0	1531.1611	2660.5762	code:37%	:
1229	295	108	0.022	91.332	1.0	854.746	1403.0381	math:44%	 
1230	520	108	0.022	91.354	0.716	918.2973	1403.9253	pile:50%	 on On  On on  onto
1231	1141	108	0.022	91.376	0.402	1031.2694	1567.7188	web:88%	.\n ?\n !\n \n ...\n\n \xa0
1232	160	107	0.022	91.397	1.0	1139.1045	1928.002	pile:37%	/
1233	235	107	0.022	91.419	0.836	984.5547	1516.9513	wiki:94%	 in  In In
1234	290	107	0.022	91.441	0.436	595.2617	881.2148	code:93%	C c (c (C
1235	824	107	0.022	91.463	0.287	938.4316	1448.334	wiki:50%	 at ,  from  and  attended  of
1236	920	107	0.022	91.484	0.254	836.2295	1416.3833	pile:100%	,  and However  Accordingly  Thus  Also
1237	1545	107	0.022	91.506	0.017	622.2988	1173.8379	code:89%	o ak  Bin  Baxter ell ka
1238	1578	107	0.022	91.528	0.924	885.6514	1617.2803	code:60%	. `.
1239	28	106	0.022	91.55	1.0	799.5089	1266.4941	code:100%	,
1240	401	106	0.022	91.571	0.354	712.1612	1256.3213	web:79%	 We  we We “We  They  also
1241	456	106	0.022	91.593	0.186	1123.7081	1562.2598	math:53%	 are  am 're  I 'm  was
1242	721	106	0.022	91.614	0.114	1086.3887	1776.0031	pile:34%	 of  the  on  in  oxide  or
1243	1816	106	0.022	91.636	0.074	1060.494	1626.0909	math:99%	 of  quantum ative  and  to  in
1244	1844	106	0.022	91.657	0.903	1033.1669	1699.8185	wiki:47%	 a a  A
1245	369	105	0.021	91.679	0.8	660.5977	1165.9728	wiki:65%	 was  also  been  originally  previously
1246	519	105	0.021	91.7	0.189	930.122	2227.5276	pile:46%	  . , bib  (  $
1247	641	105	0.021	91.721	0.487	739.457	1415.7443	math:97%	^ )^
1248	741	105	0.021	91.743	1.0	831.3281	1613.4152	wiki:47%	 the
1249	759	105	0.021	91.764	0.286	797.1934	1694.7363	pile:81%	\n  *\n .\n # ,\n //\n
1250	1654	105	0.021	91.785	0.369	423.9043	519.6055	code:94%	 WITHOUT  OF  FOR  IN  ON
1251	1752	105	0.021	91.807	0.41	897.7539	1439.1992	web:44%	 it  It It it "It “It
1252	84	104	0.021	91.828	0.019	605.8848	1485.8478	wiki:57%	 Atlas aw wan ler is el
