rank	cluster_id	n_assigned	usage_pct	cum_pct	monosemanticity	dist_min	dist_p50	domain	top_tokens
729	1410	192	0.039	74.879	0.391	1062.9238	1723.8008	math:32%	 is  was  there ’s 's  will
730	29	191	0.039	74.918	0.058	1062.536	1700.951	web:30%	 Boston  Angeles  Orlando  Tokyo  Seattle sburgh
731	38	191	0.039	74.957	0.302	793.7519	1739.8242	math:32%	 multiple  multi  more  mult  Multi  Mult
732	485	191	0.039	74.996	0.467	980.6953	1891.9689	wiki:39%	 some  Some Some some  SOME
733	740	191	0.039	75.034	0.402	1438.3038	2320.1697	wiki:59%	 often  commonly  frequently  rarely  occasionally  Often
734	1613	191	0.039	75.073	0.507	985.8417	2018.6699	web:49%	 we  We We we  us —we
735	1687	191	0.039	75.112	0.5	999.6993	1861.9552	wiki:36%	%  percent  cent  %  percentage  third
736	1734	191	0.039	75.151	0.307	912.6055	1483.8436	web:74%	 We  we We “We  WE "We
737	837	190	0.039	75.19	0.903	1305.4365	1873.0741	web:42%	 and and  dan  as —and
738	1595	190	0.039	75.228	0.182	2060.2441	3100.1895	wiki:32%	 already  eventually  finally  longer  soon  yet
739	1618	190	0.039	75.267	0.76	1021.3857	2087.8669	wiki:31%	 one One  One .One 1 one
740	1762	190	0.039	75.306	0.113	1535.2461	2378.3232	pile:26%	 remove  avoid  off  eliminate  losing  lose
741	154	189	0.038	75.344	0.083	817.1045	1398.09	wiki:80%	 writer ian ist  philosopher  poet  player
742	500	189	0.038	75.383	0.641	1193.3877	2086.0898	web:97%	.\n !\n "\n ).\n ?\n !!!\n
743	1060	189	0.038	75.421	1.0	640.2676	1201.9805	code:97%	 as
744	1754	189	0.038	75.459	0.392	1254.7119	2178.04	wiki:32%	 several  few  couple  of  Several Several
745	732	188	0.038	75.498	0.235	898.1191	1429.0897	code:94%	 copy  a  obtain  of #    
746	1465	188	0.038	75.536	0.862	1302.9882	2101.5	wiki:53%	 of  majority of  de  six
747	1685	188	0.038	75.574	0.611	1028.0956	1658.6719	math:28%	 two  Two 2 Two two  zwei
748	0	187	0.038	75.612	0.42	1138.5996	1933.3818	code:89%	0 1 [i [index [o 2
749	660	187	0.038	75.65	1.0	1054.9647	1874.1893	wiki:59%	 
750	897	187	0.038	75.688	1.0	985.8594	1591.5186	wiki:43%	 the
751	981	187	0.038	75.726	0.093	1276.7482	2458.7705	code:32%	 beginning init  init  began start  originated
752	1419	187	0.038	75.764	0.084	1237.0951	2003.4855	pile:64%	Category  football   Living  science  players
753	60	186	0.038	75.802	0.537	854.4883	1473.6084	math:90%	. $. ). .$ .) .…
754	1332	186	0.038	75.84	1.0	223.3008	305.5821	code:98%	 Public
755	1446	186	0.038	75.878	0.528	447.7832	1050.3945	code:52%	 General  general General  gener Gener  Gener
756	635	185	0.038	75.915	0.16	601.4336	1042.965	code:100%	\n  -*-\n  -*-\n\n \n\n \n\n\n
757	942	185	0.038	75.953	0.927	827.0244	1457.9376	web:31%	 the  el  le  las
758	1183	185	0.038	75.991	0.322	380.1523	541.1074	code:95%	 you  You You
759	67	184	0.037	76.028	0.0	964.7695	1419.3711	code:91%	 limitations  permissions  governing  and  software  is
760	221	184	0.037	76.066	0.026	905.6572	1431.9199	wiki:41%	i abad ford ito a co
761	242	184	0.037	76.103	0.179	552.3047	1372.2734	wiki:48%	 ad  Ada  Ad Ad  AD  adj
762	716	184	0.037	76.14	0.068	827.4209	1609.8837	pile:56%	  0  However .  such  to
763	1675	184	0.037	76.178	0.044	1371.0861	2199.1611	wiki:30%	 defendant  authors  author  astronomers ers  soldier
764	187	183	0.037	76.215	0.179	1768.291	3323.3965	pile:30%	 actually  exactly  specifically  certainly  exact  essentially
765	246	183	0.037	76.252	0.315	650.0059	1447.0869	wiki:48%	.S .  States  US US  USA
766	419	183	0.037	76.29	1.0	368.4531	980.1484	code:72%	://
767	584	183	0.037	76.327	0.426	1236.752	2024.4738	wiki:28%	 is  was  are  be  were  es
768	887	183	0.037	76.364	0.13	1667.0077	2552.7549	wiki:41%	 existing  resulting  subsequent  surrounding  latter ant
769	1061	183	0.037	76.401	0.453	1252.2091	1940.3154	wiki:52%	 was  were  is  are were was
770	1646	183	0.037	76.438	0.646	1389.6893	2135.752	wiki:49%	 its  their  ITS  her ’s
771	1992	183	0.037	76.476	0.116	1549.2568	2780.1953	web:61%	 nice  perfect  amazing  awesome  excellent  wonderful
772	74	182	0.037	76.513	0.413	473.7676	584.0137	code:92%	 or  OR # OR
773	562	182	0.037	76.55	0.03	1166.5741	1896.7001	pile:39%	I s D M MA U
774	309	181	0.037	76.587	0.098	938.6641	1510.6455	wiki:41%	 MA  California  Texas  Illinois  NY  Florida
775	493	181	0.037	76.623	0.148	1223.0275	2132.4919	pile:30%	0 000 1 8 4 7
776	1559	181	0.037	76.66	0.613	1112.2578	1934.2716	math:39%	 need  needs  needed Need  needing  Needs
777	1768	181	0.037	76.697	0.89	980.8271	1568.4442	pile:34%	 that that  THAT  which
778	62	180	0.037	76.734	0.512	841.9102	1283.1191	code:97%	            \t   # ///
779	1395	180	0.037	76.77	0.585	618.5372	1108.3575	code:99%	from  from \tfrom #from
780	1793	180	0.037	76.807	0.414	1067.5734	1575.3768	code:93%	                        \t                 }\n\n
781	615	179	0.036	76.843	0.263	914.3448	1792.8527	code:93%	,\n ',\n  \\\n \n ",\n  \n
782	1002	178	0.036	76.879	0.198	777.3784	1664.7616	code:53%	 date  dates  datetime  Date _date date
783	1398	178	0.036	76.916	0.817	1258.3153	2367.3242	web:58%	 you  You  YOU  yours  to ,
784	1863	178	0.036	76.952	0.799	1062.459	1729.7228	wiki:33%	 all all  All All  
785	1348	177	0.036	76.988	0.805	1129.9845	1950.9854	wiki:31%	 different  Different  differently different _different Different
786	1405	177	0.036	77.024	0.093	593.0049	1489.3975	code:94%	2 3 0
787	1851	177	0.036	77.06	0.398	1094.5831	2130.9229	web:41%	 day  days  daily  everyday  Daily  Day
788	1899	177	0.036	77.096	0.339	858.9902	1599.0059	math:71%	\n\n \n .\n\n ,\n\n  \n  \n\n
789	589	176	0.036	77.132	0.339	1030.2559	1812.5099	web:44%	 comes  come  came  coming Come  Comes
790	630	176	0.036	77.167	0.451	931.1191	2036.8475	web:26%	 time  times  Tim  Time Time  Timer
791	1454	176	0.036	77.203	0.519	462.7168	1173.3232	code:98%	# \n * ,\n  #  \n
792	105	175	0.036	77.239	0.008	1680.6895	2640.4128	web:37%	 accomplish  missing  wear  analyse  share  deleted
793	270	175	0.036	77.274	0.032	1017.417	1642.9805	wiki:37%	van iba alborg ford ia bury
794	748	175	0.036	77.31	0.588	1253.035	2151.4414	web:29%	 or or  Or Or  OR —or
795	1069	175	0.036	77.346	0.423	552.2949	1078.6367	code:97%	#  #  // //
796	1243	175	0.036	77.381	0.063	661.3486	1235.4139	math:63%	11 12 10 7 22 13
