rank	cluster_id	n_assigned	usage_pct	cum_pct	monosemanticity	dist_min	dist_p50	domain	top_tokens
195	1427	532	0.108	30.579	0.396	1084.9648	1718.0273	web:37%	 has  have has
196	1103	531	0.108	30.687	0.21	954.7549	2030.6963	pile:31%	3 4 12 5 6 7
197	181	528	0.107	30.794	0.881	1213.4453	2049.0645	code:41%	2  II 02  Two
198	704	527	0.107	30.902	0.179	1014.0996	1759.4883	math:41%	3 4 5 7 6 8
199	442	521	0.106	31.008	0.046	1010.1314	1767.2421	code:89%	_id _type id _url _ID _name
200	327	518	0.105	31.113	0.882	1156.3564	1730.9747	web:29%	, ), },
201	643	518	0.105	31.218	1.0	648.0713	1095.4033	code:94%	 =
202	1628	518	0.105	31.324	0.1	1224.9193	1926.8812	web:34%	 music  land  equipment  text  radiation  fiction
203	27	512	0.104	31.428	0.024	1090.462	2036.3156	pile:32%	-point  step ank -angle -style -source
204	333	512	0.104	31.532	0.092	964.4268	1825.4747	wiki:45%	 political ological  mathematical  physical  philosophical  cultural
205	815	509	0.104	31.635	0.914	1183.5438	1846.4111	pile:26%	 on  ON On  On
206	1469	506	0.103	31.738	0.306	956.8247	1937.1167	math:36%	  / . _ -  {
207	727	503	0.102	31.841	0.086	929.9097	1720.2891	wiki:40%	 Department  Republic  Court  Church  School  Institute
208	1961	501	0.102	31.943	0.03	722.5698	1607.7363	wiki:50%	a el i ri z h
209	1497	500	0.102	32.044	0.033	959.7305	1663.0428	code:90%	 data  url _path  response _file  msg
210	449	499	0.102	32.146	1.0	988.7891	1653.5566	web:34%	,
211	1022	498	0.101	32.247	0.019	1275.8926	2115.5698	code:82%	 point _in _lat Deployment  strat ascii
212	1445	497	0.101	32.348	0.036	1391.7559	2331.1335	web:36%	 effective  safe  efficient  interesting able  comfortable
213	801	496	0.101	32.449	0.103	942.1757	2020.7474	code:31%	 governing  Grand  graph  Graph  ground  Gauss
214	863	496	0.101	32.55	0.955	1045.9735	1545.6886	web:65%	. ".
215	1126	495	0.101	32.651	0.08	1520.4868	2580.2295	wiki:32%	ly ively  closely  formally  actively  officially
216	650	493	0.1	32.751	0.037	875.9795	1465.5957	code:96%	_id _name  name _file  filename path
217	1444	491	0.1	32.851	0.943	1146.2814	1680.6094	web:69%	. ). '.
218	1678	490	0.1	32.951	0.758	707.833	1275.6874	math:96%	 $ $
219	592	488	0.099	33.05	1.0	1122.249	2047.4728	web:41%	 to
220	810	486	0.099	33.149	0.919	987.8623	1544.0645	wiki:78%	, ),
221	367	484	0.098	33.247	1.0	1033.2949	1613.3535	wiki:35%	 and
222	1344	484	0.098	33.346	0.052	1388.7223	2200.1558	web:38%	 behavior  experience  success  power  interest  expertise
223	376	481	0.098	33.443	0.463	888.5273	1518.5186	code:97%	 self (self self \tself =self
224	460	481	0.098	33.541	0.257	996.9326	1944.4395	code:54%	              \t                   
225	1201	481	0.098	33.639	0.35	814.2208	1632.5106	code:94%	                                                                            
226	385	478	0.097	33.736	0.138	1046.7285	1650.3417	web:22%	 at at
227	1324	477	0.097	33.833	0.39	889.6631	1720.8379	wiki:48%	 as  including  like  include including —including
228	4	476	0.097	33.93	0.919	512.4316	930.3476	code:99%	\n \r\n
229	601	476	0.097	34.027	0.447	676.9004	1322.6642	code:94%	.\n \n >\n )\n />.\n >)\n
230	1549	476	0.097	34.124	0.228	409.3735	1215.458	wiki:61%	 Al  Ar  El  Ap  Er  Av
231	1168	475	0.097	34.22	0.017	1190.1437	2063.1201	code:92%	th ira  dim its  db (choice
232	557	474	0.096	34.317	0.04	1433.1093	2090.7793	code:98%	 settings  mock  signal  BeautifulSoup  redirect  platform
233	1530	473	0.096	34.413	0.082	929.2139	1733.7081	wiki:50%	 chemical  religious  military  social  political  Medical
234	1495	472	0.096	34.509	1.0	952.3535	1520.9952	web:33%	 that
235	152	471	0.096	34.605	0.39	1004.0801	1905.5431	math:31%	- –
236	516	470	0.096	34.701	1.0	498.1465	904.0098	code:100%	 import
237	760	470	0.096	34.796	0.074	1114.4414	1980.5634	code:80%	 db  args ). (). .client .db
238	835	470	0.096	34.892	0.025	1211.1185	1951.0673	math:37%	oc .path  repr _BORDER  foo set
239	1751	469	0.095	34.987	0.055	1172.8378	1902.8038	code:86%	_name  type  name (name  dest  action
240	1851	468	0.095	35.082	0.036	1236.166	2119.6746	web:31%	ed ated ized -bound enced -oriented
241	107	467	0.095	35.177	0.139	702.1972	1377.4531	web:33%	  ,  able  don :  doesn
242	348	467	0.095	35.272	1.0	1051.9481	1604.6503	wiki:63%	 in
243	706	467	0.095	35.367	0.489	962.8359	1611.5675	code:91%	                        \t   }\n\n
